player,nationality,position,team,comp_level,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,7,0,0,18,17,1,82,4,21,0.0,0.0,0,99.0,13.0,11.0,54.2
Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,4.3,0,0,0,10,4,1,3,1,2,0.0,0.0,0,22.0,2.0,18.0,10.0
Bénie Adama Traore,CIV,"FW,MF",Nantes,Ligue 1,20,2002,5.6,1,1,0,10,7,1,20,1,4,0.0,0.0,0,28.0,1.0,11.0,8.3
Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,2,0,0,39,22,26,12,5,4,0.0,0.0,0,55.0,54.0,69.0,43.9
Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,0,0,0,0,3,0,1,4,3,0.0,0.0,0,7.0,2.0,3.0,40.0
Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,0,0,0,7,4,2,1,0,1,0.0,0.0,0,10.0,5.0,6.0,45.5
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,2,0,0,18,13,8,4,5,9,1.0,0.0,0,30.0,14.0,37.0,27.5
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,18.0,2,0,0,10,5,0,1,25,11,0.0,0.0,0,43.0,56.0,28.0,66.7
Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,1,0,0,27,16,13,5,6,1,0.0,0.0,0,34.0,43.0,43.0,50.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,6,1,1,20,19,1,25,3,14,0.0,0.0,0,60.0,14.0,9.0,60.9
Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,3,0,0,29,19,17,76,19,20,1.0,0.0,0,118.0,8.0,12.0,40.0
Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,13.8,2,0,0,10,12,2,2,18,9,0.0,0.0,0,60.0,30.0,22.0,57.7
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10.0,5,0,0,14,28,7,23,6,7,0.0,0.0,0,36.0,21.0,22.0,48.8
Yacine Adli,FRA,MF,Milan,Serie A,23,2000,15.6,3,0,0,26,9,1,50,20,17,0.0,1.0,0,94.0,15.0,10.0,60.0
Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,0,0,0,4,4,0,2,2,6,0.0,0.0,0,11.0,0.0,2.0,0.0
Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,8,0,0,37,30,0,12,12,20,0.0,0.0,0,135.0,11.0,16.0,40.7
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,1,0,0,31,10,2,6,55,41,0.0,3.0,0,217.0,45.0,32.0,58.4
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6.0,1.0,0.0,100.0
Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0
Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,3,0,0,19,2,0,2,7,18,0.0,0.0,0,48.0,9.0,7.0,56.3
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,2,0,0,15,44,2,46,13,29,3.0,0.0,0,71.0,15.0,24.0,38.5
Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,3,1,1,10,6,0,5,17,14,0.0,1.0,0,102.0,48.0,32.0,60.0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,3,0,0,20,24,3,75,26,31,0.0,1.0,0,106.0,24.0,23.0,51.1
Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,4,1,1,9,6,1,6,2,9,0.0,0.0,0,30.0,3.0,3.0,50.0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,11,1,1,34,13,2,6,35,36,0.0,0.0,0,107.0,51.0,37.0,58.0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,0,0,0,4,0,0,0,4,3,0.0,0.0,0,22.0,14.0,9.0,60.9
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,3,0,0,18,25,2,28,18,31,0.0,1.0,0,97.0,16.0,12.0,57.1
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,7,0,0,25,53,8,41,15,44,1.0,1.0,0,136.0,21.0,25.0,45.7
